Title,Release Year,Locations,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,ID
Alcatraz,2012,Chestnut St. from Larkin to Columbus,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Elizabeth Sarnoff,Bryan Wynbrandt,20
Alcatraz,2012,Francisco St from Larkin to Polk,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Elizabeth Sarnoff,Bryan Wynbrandt,21
Alcatraz,2012,Taylor St. from Broadway to Filbert,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Elizabeth Sarnoff,Bryan Wynbrandt,22
Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,,23
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,,24
Alexander's Ragtime Band,1938,San Francisco Bay,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,,25
All About Eve,1950,Curran Theater (445 Geary Street),Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,,26
Americana,2015,Jackson St. at Spruce,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,27
Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,28
Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,29
Americana,2015,Romolo Place @ Fresno St.,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,30
Americana,2015,Palace of Fine Arts,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,31
Americana,2015,John Shelley Drive John McLaren Park,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,32
Americana,2015,Treasure Island,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,33
Americana,2015,The San Francisco School (300 Gavin St.),Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,34
Americana,2015,33 Spruce St,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,35
Americana,2015,Coi Restaurant (373 Broadway),Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,36
Americana,2015,Foreign Cinema (2534 Mission),Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,37
Americana,2015,Bernal Heights Park,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,38
Americana,2015,679 Madrid St,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,39
Americana,2015,Roxie Theater (3117 16th St.),Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,40
Americana,2015,Variety Preview Room (582 Market St.),Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,41
Americana,2015,Laguna Honda Hospital,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,42
Americana,2015,3232 Jackson Ave.,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,43
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)", however another Mel's was reopened in 1986 on 3355 Geary Blvd. ,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,,44
American Graffiti,1973,3355 Geary Blvd.,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,,,45
American Yearbook,2004,,All Planet Studios,N/A,Brian Ging,Brian Ging,Nick Tagas,Jon Carlo Alvarez,Giovannie Pico,46
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,47
A Night Full of Rain,1978,Broadway (North Beach),Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,48
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,49
A Night Full of Rain,1978,Embarcadero Freeway,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,50
Another 48 Hours,1990,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,Eddie Murphy,Nick Nolte,,51
Ant-Man,2015,Lombard at Hyde,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,52
Ant-Man,2015,Intersection of Broadway at Kearney,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,53
Ant-Man,2015,Conzelman Rd at McCollough Rd and down Concelman Rd.,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,54
Ant-Man,2015,California between Kearney and Davis,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,55
Ant-Man,2015,Broadway between Powell and Davis,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,56
Ant-Man,2015,Grant between Bush and Broadway,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,57
Ant-Man,2015,Intersection of California at Polk,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,58
Ant-Man,2015,Market between Stuart and Van Ness,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,59
Ant-Man,2015,Pine between Kearney and Davis,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,60
Ant-Man,2015,Columbus between Bay and Washington,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,61
Ant-Man,2015,601 Buena Vista Ave West at Java St.,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,62
Ant-Man,2015,"Treasure Lisland, Building #1, Ave of the Palms","PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,63
Ant-Man,2015,420 Jones St. at Ellis St.,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,64
Around the Fire,1998,Ocean Beach,Paradigm Studio,Ardustry Home Entertainment,John Jacobsen,John Comerford,Tara Reid,,,65
A Smile Like Yours,1997,75 California Street,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,Joan Cusack,66
A Smile Like Yours ,1997,Grace Cathedral Episcopal Church (1100 California Street),Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,Joan Cusack,67
A Smile Like Yours ,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,Joan Cusack,68
A Smile Like Yours ,1997,San Francisco International Airport,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,Joan Cusack,69
Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller,,,70
A View to a Kill,1985,Van Ness Avenue,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,71
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,72
A View to a Kill,1985,Chinatown,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,73
A View to a Kill,1985,City Hall,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,74
A View to a Kill,1985,Potrero Hill,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,75
A View to a Kill,1985,Embarcadero Freeway,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,76
A View to a Kill,1985,Golden Gate Bridge,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,77
A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,78
A View to a Kill,1985,Port of San Francisco ,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,79
A View to a Kill,1985,City Hall,Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,80
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),Metro-Goldwyn Mayer,MGM/UA Entertainemnt Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,,81
Babies,2010,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,Mari,82
Barbary Coast,1935,,The Samuel Goldwyn Company,United Artists,Howard Hawks,Ben Hecht,Mariam Hopkins,Edward G. Robinson,,83
Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,84
Basic Instinct,1992,Tosca Café (242 Columbus Avenue),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,85
Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,86
Basic Instinct,1992,Raw Hide II (280 Seventh Street),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,87
Basic Instinct,1992,Pier 7 (The Embarcadero),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,88
Basic Instinct,1992,Kearney Street (Telegraph Hill),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,89
Basic Instinct,1992,Hall of Justice (850 Bryant Street),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,90
Basic Instinct,1992,2930 Vallejo Street,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,91
Basic Instinct,1992,Chinatown,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,92
Basic Instinct,1992,Gibb Street (Chinatown),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,93
Basic Instinct,1992,1158-70 Montgomery Street,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,94
Basic Instinct,1992,2104 Broadway,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,95
Basic Instinct,1992,Yuerba Buena Center for the Arts,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,96
Beaches,1988,,Silver Screen Partners IV,Columbia Broadcasting System,Garry Marshall,Mary Agnes Donoghue,Bette Midler,Barbara Hershey,,97
Bedazzled,2000,"Washington Square Park (Filbert, between Stockton and Powell)",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,98
Bedazzled,2000,1155 Filbert Street at Hyde,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,99
Bedazzled,2000,Vaillancourt Fountain (Justin Herman Plaza),Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,100
Bedazzled,2000,Montgomery & Market Streets,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,101
Bedazzled,2000,City Hall,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,102
Bee Season,2005,,Bee Season Productions,Fox Searchlight Pictures,Scott McGehee,David Siegel,Richard Gere,Juliette Binoche,,103
Bicentennial Man,1999,City Hall,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,104
Bicentennial Man,1999,Golden Gate Bridge,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,105
Bicentennial Man,1999,Treasure Island,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,106
Bicentennial Man,1999,"Postcard Row, Alamo Square, Hayes Valley",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,107
Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,108
Big Eyes,2014,Nobles Alley,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,109
Big Eyes,2014,Caffe Trieste,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,110
Big Eyes,2014,Palace of Fine Arts,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,111
Big Eyes,2014,1101 Filbert St. ,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,112
Big Eyes,2014,Saints Peter & Paul Church,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,113
Big Eyes,2014,Green St. & Grant Ave.,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,114
Big Eyes,2014,Filbert St. & Leavenworth,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,115
Big Eyes,2014,Pine St. & Grant,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,116
Big Eyes,2014,Way Faire Inn on Leidsdorff,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,117
Big Eyes,2014,Harry's Bar on Fillmore,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,118
Big Sur,2013,"Tosca Café (242 Columbus Avenue, North Beach)",3311 Productions,,Micael Polish,Jack Kerouac & Michael Polish,Josh Lucas,Kate Bosworth,Stana Katic,119
Big Touble in Little China,1986,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,John Carpenter,Gary Goldman,Kurt Russell,Kim Catrall,,120
Birdman of Alcatraz,1962,Alcatraz Island,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,,121
Birdman of Alcatraz,1962,Pier 43 1/2,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,,122
Blue Jasmine,2013,Real Guitars,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,123
Blue Jasmine,2013,5546 Geary Ave,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,124
Blue Jasmine,2013,Jones & Pacific,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,125
Blue Jasmine,2013,Pacific & Divisadero,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,126
Blue Jasmine,2013,Lombard & Hyde,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,127
Blue Jasmine,2013,2898 Broadway,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,128
Blue Jasmine,2013,Motel Capri,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,129
Blue Jasmine,2013,Marina Green,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,130
Blue Jasmine,2013,Ocean Beach at Lincoln,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,131
Blue Jasmine,2013,Heald College,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,132
Blue Jasmine,2013,Marina Blvd from Leguna to Baker,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,133
Blue Jasmine,2013,330 Santa Clara Ave.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,134
Blue Jasmine,2013,200 Post St. ,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,135
Blue Jasmine,2013,2179 48th Ave,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,136
Blue Jasmine,2013,The Ramp Restaurant,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,137
Blue Jasmine,2013,303-305 S. Van Ness,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,138
Blue Jasmine,2013,3563 20th St.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,139
Blue Jasmine,2013,Taylor & Green St.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,140
Blue Jasmine,2013,Grant & Washington St.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,141
Blue Jasmine,2013,2934 24th St.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,142
Blue Jasmine,2013,1138 Alabama St,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,143
Blue Jasmine,2013,South Park,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,144
Blue Jasmine,2013,2915 16th St.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,145
Blue Jasmine,2013,Trolly Car from Market and 11th,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,146
Blue Jasmine,2013,Aub Zam Zam Bar,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,147
Blue Jasmine,2013,790 Ulloa ,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,148
Blue Jasmine,2013,SFO International Airport Terminal 3,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,149
Blue Jasmine,2013,2178 Palou Ave.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,150
Boys and Girls,2000,Fisherman's Wharf,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,151
Boys and Girls,2000,1122 Folsom Street,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,152
Boys and Girls,2000,Ferry Building,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,153
Boys and Girls,2000,Coit Tower,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,154
Boys and Girls,2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,155
Boys and Girls,2000,City Hall,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,156
Boys and Girls,2000,Lombard Street,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,157
Boys and Girls,2000,Chinatown,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,158
Boys and Girls,2000,Aquatic Park (Jefferson Street),Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,159
Boys and Girls,2000,Alcatraz Island,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,160
Boys and Girls,2000,628 Cole Street,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,161
