FD_PK,PSA,PARK,FQ,SCORE
194,PSA5,29TH/DIAMOND OPEN SPACE,FY06Q3,1
46,PSA3,ADAM ROGERS PARK,FY06Q3,0.81022
25,PSA3,ALICE CHALMERS PLAYGROUND,FY06Q3,0.97727
151,PSA1,ALICE MARBLE TENNIS COURTS,FY06Q3,1
62,PSA6,ALIOTO MINI PARK,FY06Q3,0.925
131,PSA1,ALLYNE PARK,FY06Q3,0.88571
66,PSA5,BALBOA PARK,FY06Q3,0.66176
33,PSA6,BERNAL HEIGHTS RECREATION CENTER,FY06Q3,0.88571
203,PSA1,BROADWAY TUNNEL WEST MINI PARK,FY06Q3,0.8
18,PSA4,BROOKS PARK,FY06Q3,0.88
160,PSA4,BROTHERHOOD/CHESTER MINI PARK,FY06Q3,0.5
121,PSA2,BUCHANAN STREET MALL,FY06Q3,0.67391
15,PSA3,CAYUGA PLAYGROUND,FY06Q3,0.90411
159,PSA5,CAYUGA/LAMARTINE MINI PARK,FY06Q3,0.5
152,PSA1,CHESTNUT/KEARNY OPEN SPACE,FY06Q3,0.6
199,PSA6,COSO/PRECITA MINI PARK,FY06Q3,0.73333
127,PSA2,COTTAGE ROW MINI PARK,FY06Q3,0.80556
110,PSA1,COW HOLLOW PLAYGROUND,FY06Q3,1
181,PSA5,DIAMOND/FARNUM OPEN SPACE,FY06Q3,1
113,PSA6,DUBOCE PARK,FY06Q3,1
98,PSA1,DUPONT COURTS,FY06Q3,0.86364
75,PSA5,EUREKA VALLEY REC CENTER,FY06Q3,0.84722
6,PSA5,EVERSON/DIGBY LOTS,FY06Q3,1
29,PSA3,EXCELSIOR PLAYGROUND,FY06Q3,0.91262
184,PSA1,FAY PARK,FY06Q3,1
55,PSA2,FRANKLIN SQUARE,FY06Q3,0.89286
24,PSA6,GARFIELD SQUARE,FY06Q3,0.8625
57,PSA2,GENE FRIEND REC CENTER,FY06Q3,0.89831
21,PSA5,GENEVA AVENUE STRIP,FY06Q3,0
7,PSA5,GEORGE CHRISTOPHER PLAYGROUND,FY06Q3,0.85714
1,PSA5,GLEN PARK,FY06Q3,0.77228
89,PSA4,GOLDEN GATE HEIGHTS PARK,FY06Q3,0.86667
94,GGP,GOLDEN GATE PARK,FY06Q3,0.84623
120,PSA2,GOLDEN GATE/STEINER MINI PARK,FY06Q3,0.88462
125,PSA2,HAMILTON REC CENTER,FY06Q3,0.52113
130,PSA1,HELEN WILLS PLAYGROUND,FY06Q3,0.94915
47,PSA3,HILLTOP PARK,FY06Q3,0.48673
32,PSA6,HOLLY PARK,FY06Q3,0.86486
146,PSA1,HYDE/VALLEJO MINI PARK,FY06Q3,0.92683
145,PSA1,INA COOLBRITH MINI PARK,FY06Q3,0.82609
48,PSA3,INDIA BASIN SHORELINE PARK,FY06Q3,0.87395
90,PSA4,J. P. MURPHY PLAYGROUND,FY06Q3,1
50,PSA6,JAMES ROLPH JR PLAYGROUND,FY06Q3,0.77401
126,PSA2,JAPANTOWN PEACE PLAZA,FY06Q3,0.95833
28,PSA3,JOHN MCLAREN PARK,FY06Q3,0.75654
158,PSA5,JOOST/BADEN MINI PARK,FY06Q3,0.9
40,PSA3,JOSEPH LEE RECREATION CENTER,FY06Q3,0.58974
138,PSA1,JUSTIN HERMAN/EMBARCADERO PLAZA,FY06Q3,0.96429
26,PSA3,KELLOCH VELASCO MINI PARK,FY06Q3,0.81633
191,PSA6,KID POWER PARK,FY06Q3,1
128,PSA1,LAFAYETTE PARK,FY06Q3,0.89362
10,PSA4,LAKE MERCED PARK,FY06Q3,0.85417
14,PSA3,LESSING/SEARS MINI PARK,FY06Q3,0.65306
103,PSA1,LINCOLN PARK,FY06Q3,0.81707
53,PSA2,MCKINLEY SQUARE,FY06Q3,0.86957
167,PSA4,MIDTOWN TERRACE PLAYGROUND,FY06Q3,0.975
63,PSA6,MISSION DOLORES PARK,FY06Q3,0.87407
59,PSA6,MISSION REC CENTER,FY06Q3,0.8
132,PSA1,MOSCONE RECREATION CENTER,FY06Q3,0.95833
78,PSA5,MT OLYMPUS,FY06Q3,0.69565
176,PSA6,MULLEN/PERALTA MINI PARK,FY06Q3,1
155,PSA1,MURIEL LEFF MINI PARK,FY06Q3,0.96875
59481,PSA2,PATRICIAS GREEN IN HAYES VALLEY,FY06Q3,0.96471
195,PSA5,PEIXOTTO PLAYGROUND,FY06Q3,0.86364
49,PSA6,POTRERO DEL SOL PARK,FY06Q3,0.9
37,PSA6,PRECITA PARK,FY06Q3,0.80851
201,PSA6,PRENTISS MINI PARK,FY06Q3,0.80952
109,PSA1,PRESIDIO HEIGHTS PLAYGROUND,FY06Q3,0.85294
100,PSA1,RICHMOND PLAYGROUND,FY06Q3,0.76667
189,PSA3,RIDGETOP PLAZA,FY06Q3,0.89744
99,PSA1,ROCHAMBEAU PLAYGROUND,FY06Q3,0.95833
153,PSA1,RUSSIAN HILL OPEN SPACE,FY06Q3,1
79,PSA5,SATURN STREET STEPS,FY06Q3,0.95652
123,PSA2,SGT. JOHN MACAULAY PARK,FY06Q3,0.875
83,PSA4,SIGMUND STERN RECREATION GROVE,FY06Q3,0.91429
85,PSA4,SOUTH SUNSET PLAYGROUND,FY06Q3,0.91667
136,PSA1,ST MARY'S SQUARE,FY06Q3,0.96552
180,PSA5,SUNNYSIDE CONSERVATORY,FY06Q3,0.81818
67,PSA5,SUNNYSIDE PLAYGROUND,FY06Q3,0.89231
149,PSA1,TELEGRAPH HILL/PIONEER PARK,FY06Q3,0.81579
197,PSA5,TOPAZ OPEN SPACE,FY06Q3,0.75
22,PSA5,UPPER NOE RECREATION CENTER,FY06Q3,0.85075
202,PSA2,UTAH/18TH MINI PARK,FY06Q3,0.96154
177,PSA3,VISITACION VALLEY GREENWAY,FY06Q3,1
27,PSA3,VISITACION VALLEY PLAYGROUND,FY06Q3,0.94915
4,PSA5,WALTER HAAS PLAYGROUND,FY06Q3,0.84746
139,PSA1,WILLIE WOO WOO WONG PLAYGROUND,FY06Q3,0.88119
170,PSA1,WOH HEI YUEN PARK,FY06Q3,1
112,PSA1,YACHT HARBOR AND MARINA GREEN,FY06Q3,0.55128
156,PSA1,10TH AVE/CLEMENT MINI PARK,FY06Q4,0.67347
117,PSA2,ALAMO SQUARE,FY06Q4,0.8209
151,PSA1,ALICE MARBLE TENNIS COURTS,FY06Q4,0.97674
105,PSA1,ANGELO J. ROSSI PLAYGROUND,FY06Q4,0.85393
38,PSA3,BAY VIEW PLAYGROUND,FY06Q4,0.72857
106,PSA2,BEIDEMAN/O'FARRELL MINI PARK,FY06Q4,0.9
33,PSA6,BERNAL HEIGHTS RECREATION CENTER,FY06Q4,0.92593
204,PSA1,BROADWAY TUNNEL EAST MINI PARK,FY06Q4,0.16667
18,PSA4,BROOKS PARK,FY06Q4,0.89189
160,PSA4,BROTHERHOOD/CHESTER MINI PARK,FY06Q4,1
108,PSA2,BUSH/BRODERICK MINI PARK,FY06Q4,0.47222
95,PSA1,CABRILLO PLAYGROUND,FY06Q4,0.93
86,PSA4,CARL LARSEN PARK,FY06Q4,0.64789
152,PSA1,CHESTNUT/KEARNY OPEN SPACE,FY06Q4,0.92308
140,PSA1,CHINESE RECREATION CENTER,FY06Q4,0.91589
34,PSA6,COLERIDGE MINI PARK,FY06Q4,1
137,PSA1,COLLIS P. HUNTINGTON PARK,FY06Q4,0.95652
80,PSA5,CORONA HEIGHTS,FY06Q4,0.91379
164,PSA3,CROCKER AMAZON PLAYGROUND,FY06Q4,0.9801
8,PSA5,DOUGLASS PLAYGROUND,FY06Q4,0.93684
134,PSA2,FATHER ALFRED E. BOEDDEKER PARK,FY06Q4,0.70175
182,PSA2,FILLMORE/TURK MINI PARK,FY06Q4,0.69231
96,PSA1,FULTON PLAYGROUND,FY06Q4,1
7,PSA5,GEORGE CHRISTOPHER PLAYGROUND,FY06Q4,0.80952
44,PSA3,GILMAN PLAYGROUND,FY06Q4,0.9186
1,PSA5,GLEN PARK,FY06Q4,0.96296
89,PSA4,GOLDEN GATE HEIGHTS PARK,FY06Q4,0.86792
94,GGP,GOLDEN GATE PARK,FY06Q4,0.9223
104,PSA2,GRATTAN PLAYGROUND,FY06Q4,0.76087
116,PSA2,HAYES VALLEY PLAYGROUND,FY06Q4,0.96154
196,PSA4,HEAD/BROTHERHOOD MINI PARK,FY06Q4,0.82143
32,PSA6,HOLLY PARK,FY06Q4,0.8
145,PSA1,INA COOLBRITH MINI PARK,FY06Q4,0.875
54,PSA2,JACKSON PLAYGROUND,FY06Q4,0.83333
122,PSA2,JEFFERSON SQUARE,FY06Q4,0.9
150,PSA1,JOE DIMAGGIO PLAYGROUND,FY06Q4,0.96429
158,PSA5,JOOST/BADEN MINI PARK,FY06Q4,0.93333
60,PSA6,JOSE CORONADO PLAYGROUND,FY06Q4,0.61111
154,PSA1,JOSEPH CONRAD MINI PARK,FY06Q4,0.97368
118,PSA2,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,FY06Q4,0.87719
166,PSA1,JULIUS KAHN PLAYGROUND,FY06Q4,0.97938
13,PSA4,JUNIPERO SERRA PLAYGROUND,FY06Q4,0.89873
23,PSA6,JURI COMMONS,FY06Q4,0.97872
115,PSA2,KOSHLAND PARK,FY06Q4,0.88679
10,PSA4,LAKE MERCED PARK,FY06Q4,0.81667
107,PSA1,LAUREL HILL PLAYGROUND,FY06Q4,0.98824
42,PSA3,LITTLE HOLLYWOOD PARK,FY06Q4,0.95745
119,PSA2,MARGARET S HAYWARD PLAYGROUND,FY06Q4,0.81452
88,PSA4,MCCOPPIN SQUARE,FY06Q4,0.67742
17,PSA4,MERCED HEIGHTS PLAYGROUND,FY06Q4,0.58242
148,PSA1,MICHELANGELO PLAYGROUND,FY06Q4,1
70,PSA5,MIRALOMA PLAYGROUND,FY06Q4,0.96591
61,PSA6,MISSION PLAYGROUND,FY06Q4,0.67901
102,PSA1,MOUNTAIN LAKE PARK,FY06Q4,0.94624
72,PSA5,NOE VALLEY COURTS,FY06Q4,0.84483
114,PSA2,PAGE/LAGUNA MINI PARK,FY06Q4,0.8
30,PSA3,PALEGA RECREATION CENTER,FY06Q4,0.83178
188,PSA3,PALOU/PHELPS PARK,FY06Q4,1
84,PSA4,PARKSIDE SQUARE,FY06Q4,0.72826
187,PSA6,PARQUE NINOS UNIDOS,FY06Q4,0.97059
82,PSA4,PINE LAKE PARK,FY06Q4,0.91549
141,PSA1,PORTSMOUTH SQUARE,FY06Q4,0.82927
201,PSA6,PRENTISS MINI PARK,FY06Q4,0.69565
16,PSA4,RANDOLPH/BRIGHT MINI PARK,FY06Q4,0.62857
124,PSA2,RAYMOND KIMBELL PLAYGROUND,FY06Q4,0.74359
172,PSA1,RICHMOND RECREATION CENTER,FY06Q4,1
9,PSA4,ROLPH NICOL PLAYGROUND,FY06Q4,0.79487
153,PSA1,RUSSIAN HILL OPEN SPACE,FY06Q4,0
157,PSA3,SELBY/PALOU MINI PARK,FY06Q4,0.62857
73,PSA5,SEWARD MINI PARK,FY06Q4,0.66667
39,PSA3,SILVER TERRACE PLAYGROUND,FY06Q4,0.62832
56,PSA2,SOUTH PARK,FY06Q4,0.87805
31,PSA6,ST MARY'S REC CENTER,FY06Q4,0.85567
200,PSA5,STATES STREET PLAYGROUND,FY06Q4,0.74286
143,PSA1,SUE BIERMAN PARK,FY06Q4,0.9
93,PSA4,SUNSET PLAYGROUND,FY06Q4,0.90566
149,PSA1,TELEGRAPH HILL/PIONEER PARK,FY06Q4,0.76087
168,PSA2,TENDERLOIN CHILDREN'S REC CENTER,FY06Q4,1
192,PSA2,TURK/HYDE MINI PARK,FY06Q4,0.95455
135,PSA2,UNION SQUARE,FY06Q4,1
22,PSA5,UPPER NOE RECREATION CENTER,FY06Q4,0.6875
177,PSA3,VISITACION VALLEY GREENWAY,FY06Q4,1
147,PSA1,WASHINGTON SQUARE,FY06Q4,0.91379
144,PSA1,WASHINGTON/HYDE MINI PARK,FY06Q4,0.97674
68,PSA4,WEST PORTAL PLAYGROUND,FY06Q4,0.94937
91,PSA4,WEST SUNSET PLAYGROUND,FY06Q4,0.84733
45,PSA3,YOUNGBLOOD COLEMAN PLAYGROUND,FY06Q4,0.75
194,PSA5,29TH/DIAMOND OPEN SPACE,FY07Q1,0.5
46,PSA3,ADAM ROGERS PARK,FY07Q1,0.69
25,PSA3,ALICE CHALMERS PLAYGROUND,FY07Q1,0.8481
62,PSA6,ALIOTO MINI PARK,FY07Q1,0.89247
131,PSA1,ALLYNE PARK,FY07Q1,0.79365
66,PSA5,BALBOA PARK,FY07Q1,0.84488
106,PSA2,BEIDEMAN/O'FARRELL MINI PARK,FY07Q1,0.875
204,PSA1,BROADWAY TUNNEL EAST MINI PARK,FY07Q1,0.35714
203,PSA1,BROADWAY TUNNEL WEST MINI PARK,FY07Q1,0.88
160,PSA4,BROTHERHOOD/CHESTER MINI PARK,FY07Q1,0.77778
121,PSA2,BUCHANAN STREET MALL,FY07Q1,0.63393
81,PSA5,BUENA VISTA PARK,FY07Q1,0.59231
15,PSA3,CAYUGA PLAYGROUND,FY07Q1,0.81651
159,PSA5,CAYUGA/LAMARTINE MINI PARK,FY07Q1,0.16667
199,PSA6,COSO/PRECITA MINI PARK,FY07Q1,1
127,PSA2,COTTAGE ROW MINI PARK,FY07Q1,1
110,PSA1,COW HOLLOW PLAYGROUND,FY07Q1,1
181,PSA5,DIAMOND/FARNUM OPEN SPACE,FY07Q1,1
8,PSA5,DOUGLASS PLAYGROUND,FY07Q1,0.62376
113,PSA6,DUBOCE PARK,FY07Q1,0.79781
98,PSA1,DUPONT COURTS,FY07Q1,0.86577
193,PSA2,ESPRIT PARK,FY07Q1,0.98462
75,PSA5,EUREKA VALLEY REC CENTER,FY07Q1,0.81746
6,PSA5,EVERSON/DIGBY LOTS,FY07Q1,0.75
29,PSA3,EXCELSIOR PLAYGROUND,FY07Q1,0.88601
134,PSA2,FATHER ALFRED E. BOEDDEKER PARK,FY07Q1,0.72727
184,PSA1,FAY PARK,FY07Q1,1
55,PSA2,FRANKLIN SQUARE,FY07Q1,0.7
24,PSA6,GARFIELD SQUARE,FY07Q1,0.85714
57,PSA2,GENE FRIEND REC CENTER,FY07Q1,0.84733
21,PSA5,GENEVA AVENUE STRIP,FY07Q1,0.25
94,GGP,GOLDEN GATE PARK,FY07Q1,0.85304
120,PSA2,GOLDEN GATE/STEINER MINI PARK,FY07Q1,0.7561
104,PSA2,GRATTAN PLAYGROUND,FY07Q1,0.86667
125,PSA2,HAMILTON REC CENTER,FY07Q1,0.60759
130,PSA1,HELEN WILLS PLAYGROUND,FY07Q1,0.98052
47,PSA3,HILLTOP PARK,FY07Q1,0.73333
146,PSA1,HYDE/VALLEJO MINI PARK,FY07Q1,0.93443
48,PSA3,INDIA BASIN SHORELINE PARK,FY07Q1,0.79032
90,PSA4,J. P. MURPHY PLAYGROUND,FY07Q1,0.95783
50,PSA6,JAMES ROLPH JR PLAYGROUND,FY07Q1,0.70588
126,PSA2,JAPANTOWN PEACE PLAZA,FY07Q1,0.91667
28,PSA3,JOHN MCLAREN PARK,FY07Q1,0.83396
154,PSA1,JOSEPH CONRAD MINI PARK,FY07Q1,0.80556
138,PSA1,JUSTIN HERMAN/EMBARCADERO PLAZA,FY07Q1,0.91667
26,PSA3,KELLOCH VELASCO MINI PARK,FY07Q1,0.71429
191,PSA6,KID POWER PARK,FY07Q1,0.97701
115,PSA2,KOSHLAND PARK,FY07Q1,0.80392
128,PSA1,LAFAYETTE PARK,FY07Q1,0.88587
14,PSA3,LESSING/SEARS MINI PARK,FY07Q1,0.90244
103,PSA1,LINCOLN PARK,FY07Q1,0.76786
163,GGP,LOWER GREAT HIGHWAY,FY07Q1,0.80645
88,PSA4,MCCOPPIN SQUARE,FY07Q1,0.85135
53,PSA2,MCKINLEY SQUARE,FY07Q1,0.75
148,PSA1,MICHELANGELO PLAYGROUND,FY07Q1,0.89091
167,PSA4,MIDTOWN TERRACE PLAYGROUND,FY07Q1,0.88276
19,PSA4,MINNIE & LOVIE WARD REC CENTER,FY07Q1,0.53247
63,PSA6,MISSION DOLORES PARK,FY07Q1,0.7094
59,PSA6,MISSION REC CENTER,FY07Q1,0.92715
132,PSA1,MOSCONE RECREATION CENTER,FY07Q1,0.91743
78,PSA5,MT OLYMPUS,FY07Q1,0.62162
176,PSA6,MULLEN/PERALTA MINI PARK,FY07Q1,1
155,PSA1,MURIEL LEFF MINI PARK,FY07Q1,0.89474
72,PSA5,NOE VALLEY COURTS,FY07Q1,0.56897
101,PSA1,PARK PRESIDIO BLVD,FY07Q1,0.82353
59481,PSA2,PATRICIAS GREEN IN HAYES VALLEY,FY07Q1,0.94382
195,PSA5,PEIXOTTO PLAYGROUND,FY07Q1,0.88406
82,PSA4,PINE LAKE PARK,FY07Q1,0.74468
49,PSA6,POTRERO DEL SOL PARK,FY07Q1,0.76
52,PSA2,POTRERO HILL RECREATION CENTER,FY07Q1,0.81132
37,PSA6,PRECITA PARK,FY07Q1,0.87805
109,PSA1,PRESIDIO HEIGHTS PLAYGROUND,FY07Q1,0.91216
100,PSA1,RICHMOND PLAYGROUND,FY07Q1,0.79641
189,PSA3,RIDGETOP PLAZA,FY07Q1,0.85
99,PSA1,ROCHAMBEAU PLAYGROUND,FY07Q1,0.87421
9,PSA4,ROLPH NICOL PLAYGROUND,FY07Q1,0.79487
79,PSA5,SATURN STREET STEPS,FY07Q1,0.36364
157,PSA3,SELBY/PALOU MINI PARK,FY07Q1,0.61905
123,PSA2,SGT. JOHN MACAULAY PARK,FY07Q1,0.77358
83,PSA4,SIGMUND STERN RECREATION GROVE,FY07Q1,0.81159
85,PSA4,SOUTH SUNSET PLAYGROUND,FY07Q1,0.83415
136,PSA1,ST MARY'S SQUARE,FY07Q1,0.86275
180,PSA5,SUNNYSIDE CONSERVATORY,FY07Q1,0.50746
67,PSA5,SUNNYSIDE PLAYGROUND,FY07Q1,0.75969
168,PSA2,TENDERLOIN CHILDREN'S REC CENTER,FY07Q1,0.93023
197,PSA5,TOPAZ OPEN SPACE,FY07Q1,0.5
135,PSA2,UNION SQUARE,FY07Q1,1
202,PSA2,UTAH/18TH MINI PARK,FY07Q1,0.87805
27,PSA3,VISITACION VALLEY PLAYGROUND,FY07Q1,0.87273
4,PSA5,WALTER HAAS PLAYGROUND,FY07Q1,0.95833
91,PSA4,WEST SUNSET PLAYGROUND,FY07Q1,0.78967
139,PSA1,WILLIE WOO WOO WONG PLAYGROUND,FY07Q1,0.97826
170,PSA1,WOH HEI YUEN PARK,FY07Q1,0.9798
112,PSA1,YACHT HARBOR AND MARINA GREEN,FY07Q1,0.91667
156,PSA1,10TH AVE/CLEMENT MINI PARK,FY07Q2,0.37838
46,PSA3,ADAM ROGERS PARK,FY07Q2,0.84211
117,PSA2,ALAMO SQUARE,FY07Q2,0.8189
151,PSA1,ALICE MARBLE TENNIS COURTS,FY07Q2,0.98936
129,PSA1,ALTA PLAZA,FY07Q2,0.82162
105,PSA1,ANGELO J. ROSSI PLAYGROUND,FY07Q2,0.93814
65,PSA4,APTOS PLAYGROUND,FY07Q2,0.96667
38,PSA3,BAY VIEW PLAYGROUND,FY07Q2,0.92857
106,PSA2,BEIDEMAN/O'FARRELL MINI PARK,FY07Q2,0.88
33,PSA6,BERNAL HEIGHTS RECREATION CENTER,FY07Q2,0.74038
204,PSA1,BROADWAY TUNNEL EAST MINI PARK,FY07Q2,0.375
18,PSA4,BROOKS PARK,FY07Q2,0.94792
160,PSA4,BROTHERHOOD/CHESTER MINI PARK,FY07Q2,1
108,PSA2,BUSH/BRODERICK MINI PARK,FY07Q2,0.89706
95,PSA1,CABRILLO PLAYGROUND,FY07Q2,0.87356
86,PSA4,CARL LARSEN PARK,FY07Q2,0.71591
159,PSA5,CAYUGA/LAMARTINE MINI PARK,FY07Q2,0.625
140,PSA1,CHINESE RECREATION CENTER,FY07Q2,0.85965
34,PSA6,COLERIDGE MINI PARK,FY07Q2,0.80645
137,PSA1,COLLIS P. HUNTINGTON PARK,FY07Q2,0.97872
80,PSA5,CORONA HEIGHTS,FY07Q2,0.86667
164,PSA3,CROCKER AMAZON PLAYGROUND,FY07Q2,0.79688
8,PSA5,DOUGLASS PLAYGROUND,FY07Q2,0.70769
113,PSA6,DUBOCE PARK,FY07Q2,1
193,PSA2,ESPRIT PARK,FY07Q2,0.875
75,PSA5,EUREKA VALLEY REC CENTER,FY07Q2,0.86486
134,PSA2,FATHER ALFRED E. BOEDDEKER PARK,FY07Q2,0.89831
182,PSA2,FILLMORE/TURK MINI PARK,FY07Q2,0.7963
55,PSA2,FRANKLIN SQUARE,FY07Q2,0.77
24,PSA6,GARFIELD SQUARE,FY07Q2,0.75
7,PSA5,GEORGE CHRISTOPHER PLAYGROUND,FY07Q2,0.88506
44,PSA3,GILMAN PLAYGROUND,FY07Q2,0.89552
1,PSA5,GLEN PARK,FY07Q2,0.89268
89,PSA4,GOLDEN GATE HEIGHTS PARK,FY07Q2,0.84685
94,GGP,GOLDEN GATE PARK,FY07Q2,0.80796
104,PSA2,GRATTAN PLAYGROUND,FY07Q2,0.79487
125,PSA2,HAMILTON REC CENTER,FY07Q2,0.66162
116,PSA2,HAYES VALLEY PLAYGROUND,FY07Q2,0.88785
196,PSA4,HEAD/BROTHERHOOD MINI PARK,FY07Q2,0.69697
130,PSA1,HELEN WILLS PLAYGROUND,FY07Q2,1
32,PSA6,HOLLY PARK,FY07Q2,0.82353
146,PSA1,HYDE/VALLEJO MINI PARK,FY07Q2,0.93333
145,PSA1,INA COOLBRITH MINI PARK,FY07Q2,0.88889
54,PSA2,JACKSON PLAYGROUND,FY07Q2,0.83626
122,PSA2,JEFFERSON SQUARE,FY07Q2,0.68293
150,PSA1,JOE DIMAGGIO PLAYGROUND,FY07Q2,0.95045
158,PSA5,JOOST/BADEN MINI PARK,FY07Q2,0.58929
60,PSA6,JOSE CORONADO PLAYGROUND,FY07Q2,0.85
154,PSA1,JOSEPH CONRAD MINI PARK,FY07Q2,0.94595
118,PSA2,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,FY07Q2,0.98913
166,PSA1,JULIUS KAHN PLAYGROUND,FY07Q2,0.81967
13,PSA4,JUNIPERO SERRA PLAYGROUND,FY07Q2,0.97468
23,PSA6,JURI COMMONS,FY07Q2,0.96629
115,PSA2,KOSHLAND PARK,FY07Q2,0.86
128,PSA1,LAFAYETTE PARK,FY07Q2,0.82979
10,PSA4,LAKE MERCED PARK,FY07Q2,0.98182
107,PSA1,LAUREL HILL PLAYGROUND,FY07Q2,0.86538
119,PSA2,MARGARET S HAYWARD PLAYGROUND,FY07Q2,0.85227
142,PSA1,MARITIME PLAZA,FY07Q2,0.87805
88,PSA4,MCCOPPIN SQUARE,FY07Q2,0.83117
17,PSA4,MERCED HEIGHTS PLAYGROUND,FY07Q2,0.90385
148,PSA1,MICHELANGELO PLAYGROUND,FY07Q2,0.98148
19,PSA4,MINNIE & LOVIE WARD REC CENTER,FY07Q2,0.71831
70,PSA5,MIRALOMA PLAYGROUND,FY07Q2,0.83951
63,PSA6,MISSION DOLORES PARK,FY07Q2,0.94521
61,PSA6,MISSION PLAYGROUND,FY07Q2,0.94595
102,PSA1,MOUNTAIN LAKE PARK,FY07Q2,0.88764
72,PSA5,NOE VALLEY COURTS,FY07Q2,0.84252
114,PSA2,PAGE/LAGUNA MINI PARK,FY07Q2,0.65714
111,PSA1,PALACE OF FINE ARTS,FY07Q2,0.89423
30,PSA3,PALEGA RECREATION CENTER,FY07Q2,0.84158
188,PSA3,PALOU/PHELPS PARK,FY07Q2,0.87778
101,PSA1,PARK PRESIDIO BLVD,FY07Q2,0.65385
84,PSA4,PARKSIDE SQUARE,FY07Q2,0.78155
187,PSA6,PARQUE NINOS UNIDOS,FY07Q2,0.94444
59481,PSA2,PATRICIAS GREEN IN HAYES VALLEY,FY07Q2,0.89744
195,PSA5,PEIXOTTO PLAYGROUND,FY07Q2,0.92473
82,PSA4,PINE LAKE PARK,FY07Q2,0.8
37264,PSA5,PORTOLA OPEN SPACE,FY07Q2,1
141,PSA1,PORTSMOUTH SQUARE,FY07Q2,0.66667
49,PSA6,POTRERO DEL SOL PARK,FY07Q2,0.65957
52,PSA2,POTRERO HILL RECREATION CENTER,FY07Q2,0.79775
37,PSA6,PRECITA PARK,FY07Q2,0.97222
201,PSA6,PRENTISS MINI PARK,FY07Q2,0.86667
16,PSA4,RANDOLPH/BRIGHT MINI PARK,FY07Q2,0.76316
124,PSA2,RAYMOND KIMBELL PLAYGROUND,FY07Q2,0.71631
9,PSA4,ROLPH NICOL PLAYGROUND,FY07Q2,0.88608
107857,PSA5,ROOSEVELT/HENRY STEPS,FY07Q2,1
79,PSA5,SATURN STREET STEPS,FY07Q2,0.83333
157,PSA3,SELBY/PALOU MINI PARK,FY07Q2,0.8375
73,PSA5,SEWARD MINI PARK,FY07Q2,0.87931
39,PSA3,SILVER TERRACE PLAYGROUND,FY07Q2,0.95098
56,PSA2,SOUTH PARK,FY07Q2,0.78652
31,PSA6,ST MARY'S REC CENTER,FY07Q2,0.88235
200,PSA5,STATES STREET PLAYGROUND,FY07Q2,0.95313
143,PSA1,SUE BIERMAN PARK,FY07Q2,0.8806
180,PSA5,SUNNYSIDE CONSERVATORY,FY07Q2,0.6129
93,PSA4,SUNSET PLAYGROUND,FY07Q2,0.82222
149,PSA1,TELEGRAPH HILL/PIONEER PARK,FY07Q2,0.93878
168,PSA2,TENDERLOIN CHILDREN'S REC CENTER,FY07Q2,0.9375
192,PSA2,TURK/HYDE MINI PARK,FY07Q2,0.73333
135,PSA2,UNION SQUARE,FY07Q2,1
169,PSA2,VICTORIA MANALO DRAVES PARK,FY07Q2,1
177,PSA3,VISITACION VALLEY GREENWAY,FY07Q2,0.96154
4,PSA5,WALTER HAAS PLAYGROUND,FY07Q2,0.95161
147,PSA1,WASHINGTON SQUARE,FY07Q2,0.88148
144,PSA1,WASHINGTON/HYDE MINI PARK,FY07Q2,1
68,PSA4,WEST PORTAL PLAYGROUND,FY07Q2,0.82609
112,PSA1,YACHT HARBOR AND MARINA GREEN,FY07Q2,0.77612
45,PSA3,YOUNGBLOOD COLEMAN PLAYGROUND,FY07Q2,0.72941
156,PSA1,10TH AVE/CLEMENT MINI PARK,FY07Q3,0.5641
51,PSA6,24TH/YORK MINI PARK,FY07Q3,0.96296
46,PSA3,ADAM ROGERS PARK,FY07Q3,0.82394
25,PSA3,ALICE CHALMERS PLAYGROUND,FY07Q3,0.96386
62,PSA6,ALIOTO MINI PARK,FY07Q3,0.94595
131,PSA1,ALLYNE PARK,FY07Q3,0.97143
65,PSA4,APTOS PLAYGROUND,FY07Q3,0.99091
66,PSA5,BALBOA PARK,FY07Q3,0.78151
38,PSA3,BAY VIEW PLAYGROUND,FY07Q3,0.7963
204,PSA1,BROADWAY TUNNEL EAST MINI PARK,FY07Q3,0.78261
203,PSA1,BROADWAY TUNNEL WEST MINI PARK,FY07Q3,0.83333
160,PSA4,BROTHERHOOD/CHESTER MINI PARK,FY07Q3,1
121,PSA2,BUCHANAN STREET MALL,FY07Q3,0.74194
81,PSA5,BUENA VISTA PARK,FY07Q3,0.94118
95,PSA1,CABRILLO PLAYGROUND,FY07Q3,0.84722
86,PSA4,CARL LARSEN PARK,FY07Q3,0.72289
15,PSA3,CAYUGA PLAYGROUND,FY07Q3,0.96471
159,PSA5,CAYUGA/LAMARTINE MINI PARK,FY07Q3,0.86667
140,PSA1,CHINESE RECREATION CENTER,FY07Q3,0.85333
80,PSA5,CORONA HEIGHTS,FY07Q3,0.92857
199,PSA6,COSO/PRECITA MINI PARK,FY07Q3,0.93333
127,PSA2,COTTAGE ROW MINI PARK,FY07Q3,0.69697
