RESERVAS PERSONAS CON MOVILIDAD REDUCIDA;;;;;;
Gis_X;Gis_Y;Distrito;Barrio;Calle;Nß Finca;Nß de Plazas
442643,01;4478703,94;05  CHAMART÷N;05-04 HISPANOAMêRICA;REPUBLICA DEL ECUADOR, PLAZA, DE LA;4;1
442631,91;4478657,18;05  CHAMART÷N;05-04 HISPANOAMêRICA;REPUBLICA DEL ECUADOR, PLAZA, DE LA;2;1
442629,6;4478767,32;05  CHAMART÷N;05-04 HISPANOAMêRICA;REPUBLICA DEL ECUADOR, PLAZA, DE LA;7;1
442285,04;4478869,79;05  CHAMART÷N;05-04 HISPANOAMêRICA;ROMERO GIRON, CALLE, DE;3;1
443408,49;4478481,38;05  CHAMART÷N;05-04 HISPANOAMêRICA;SAUCE, CALLE, DEL;10;1
442480,08;4478507,53;05  CHAMART÷N;05-04 HISPANOAMêRICA;SERRANO, CALLE, DE;228;1
442432,18;4478490,96;05  CHAMART÷N;05-04 HISPANOAMêRICA;SERRANO, CALLE, DE;205;1
442457,46;4478473,49;05  CHAMART÷N;05-04 HISPANOAMêRICA;SERRANO, CALLE, DE;226;1
442528,59;4478432,33;05  CHAMART÷N;05-04 HISPANOAMêRICA;SERRANO, CALLE, DE;65;1
442478,96;4478453,94;05  CHAMART÷N;05-04 HISPANOAMêRICA;SERRANO, CALLE, DE;226 B;1
442463,84;4478639,19;05  CHAMART÷N;05-04 HISPANOAMêRICA;TRUEBA Y FERNANDEZ, CALLE, DE;10;1
442755,64;4478717,55;05  CHAMART÷N;05-04 HISPANOAMêRICA;URUGUAY, CALLE, DE;3;1
443077,55;4478689,67;05  CHAMART÷N;05-04 HISPANOAMêRICA;URUGUAY, CALLE, DE;16;1
442970,02;4478703,79;05  CHAMART÷N;05-04 HISPANOAMêRICA;URUGUAY, CALLE, DE;15;1
442874,77;4478709,35;05  CHAMART÷N;05-04 HISPANOAMêRICA;URUGUAY, CALLE, DE;11;2
443151,81;4478683,13;05  CHAMART÷N;05-04 HISPANOAMêRICA;URUGUAY, CALLE, DE;35;1
442403,53;4478673,15;05  CHAMART÷N;05-04 HISPANOAMêRICA;VALPARAISO, PLAZA, DE;7;1
442203,09;4478996,41;05  CHAMART÷N;05-04 HISPANOAMêRICA;VERACRUZ, CALLE, DE;1;1
442539,95;4478604,02;05  CHAMART÷N;05-04 HISPANOAMêRICA;VICTOR ANDRES BELAUNDE, CALLE, DE;2;1
442447,96;4478936,07;05  CHAMART÷N;05-04 HISPANOAMêRICA;VICTOR ANDRES BELAUNDE, CALLE, DE;36;1
443263,59;4478810,16;05  CHAMART÷N;05-04 HISPANOAMêRICA;VICTOR DE LA SERNA, CALLE, DE;44;1
443175,07;4478591,38;05  CHAMART÷N;05-04 HISPANOAMêRICA;VICTOR DE LA SERNA, CALLE, DE;22;2
442929,8;4478348,52;05  CHAMART÷N;05-04 HISPANOAMêRICA;VICTOR DE LA SERNA, CALLE, DE;1;1
443029,52;4478437,43;05  CHAMART÷N;05-04 HISPANOAMêRICA;VICTOR DE LA SERNA, CALLE, DE;7;1
443039,66;4478430,31;05  CHAMART÷N;05-04 HISPANOAMêRICA;VICTOR DE LA SERNA, CALLE, DE;6;3
442316,63;4479889,45;05  CHAMART÷N;05-05 NUEVA ESPALA;ABEDUL, CALLE, DEL;13;1
441906,6;4479134,08;05  CHAMART÷N;05-05 NUEVA ESPALA;ALBERTO ALCOCER, AVENIDA, DE;11;1
442338,16;4479104,63;05  CHAMART÷N;05-05 NUEVA ESPALA;ALBERTO ALCOCER, AVENIDA, DE;37;1
442177,01;4479109,37;05  CHAMART÷N;05-05 NUEVA ESPALA;ALBERTO ALCOCER, AVENIDA, DE;29;2
443195,1;4479267,72;05  CHAMART÷N;05-05 NUEVA ESPALA;ALFONSO XIII, AVENIDA, DE;156;2
442889,64;4479271,41;05  CHAMART÷N;05-05 NUEVA ESPALA;ALFONSO XIII, AVENIDA, DE;141;1
442149,24;4479633,83;05  CHAMART÷N;05-05 NUEVA ESPALA;AZULINAS, CALLE, DE LAS;16;1
442063,34;4479782,93;05  CHAMART÷N;05-05 NUEVA ESPALA;BENDICION DE CAMPOS, CALLE, DE LA;2;1
442660,63;4479260,1;05  CHAMART÷N;05-05 NUEVA ESPALA;BOLIVIA, CALLE, DE;44;1
442654,37;4479156,11;05  CHAMART÷N;05-05 NUEVA ESPALA;BOLIVIA, CALLE, DE;34;1
443328,36;4479852,54;05  CHAMART÷N;05-05 NUEVA ESPALA;CARLOS CAAMALO, CALLE, DE;S/N;1
441665,79;4479252,73;05  CHAMART÷N;05-05 NUEVA ESPALA;CASTELLANA, PASEO, DE LA;172;1
441697,91;4479703,83;05  CHAMART÷N;05-05 NUEVA ESPALA;CASTELLANA, PASEO, DE LA;212;2
442823,55;4479192,35;05  CHAMART÷N;05-05 NUEVA ESPALA;CHILE, CALLE, DE;25;2
443448,72;4479377,62;05  CHAMART÷N;05-05 NUEVA ESPALA;COMANDANTE AZCARRAGA, CALLE, DEL;6;1
443163,84;4479527,64;05  CHAMART÷N;05-05 NUEVA ESPALA;CRUCERO 25 DE MAYO, CALLE, DEL;9;1
441786,8;4479437,83;05  CHAMART÷N;05-05 NUEVA ESPALA;DOCTOR FLEMING, CALLE, DEL;35;1
443269,59;4479340,92;05  CHAMART÷N;05-05 NUEVA ESPALA;ENRIQUE JARDIEL PONCELA, CALLE, DE;10;2
443468,62;4479289,8;05  CHAMART÷N;05-05 NUEVA ESPALA;FEDERICO SALMON, CALLE, DE;4;1
443453,41;4479236,99;05  CHAMART÷N;05-05 NUEVA ESPALA;FEDERICO SALMON, CALLE, DE;2;1
441998,57;4479594,49;05  CHAMART÷N;05-05 NUEVA ESPALA;FELIX BOIX, CALLE, DE;S/N;1
441929,64;4479369,45;05  CHAMART÷N;05-05 NUEVA ESPALA;GENERAL GALLEGOS, CALLE, DEL;3;1
443149,32;4479192,56;05  CHAMART÷N;05-05 NUEVA ESPALA;GUATEMALA, CALLE, DE;13;2
442107,04;4479265,69;05  CHAMART÷N;05-05 NUEVA ESPALA;HENRI DUNANT, CALLE, DE;19;1
441851,74;4479301,7;05  CHAMART÷N;05-05 NUEVA ESPALA;JUAN HURTADO DE MENDOZA, CALLE, DE;13;1
441928,91;4479246,5;05  CHAMART÷N;05-05 NUEVA ESPALA;JUAN HURTADO DE MENDOZA, CALLE, DE;14;1
441752,12;4479310,88;05  CHAMART÷N;05-05 NUEVA ESPALA;JUAN HURTADO DE MENDOZA, CALLE, DE;5;1
441860,45;4479452,62;05  CHAMART÷N;05-05 NUEVA ESPALA;JUAN RAMON JIMENEZ, CALLE, DE;24;1
442473,13;4479664,15;05  CHAMART÷N;05-05 NUEVA ESPALA;LA HABANA, PASEO, DE;202A;1
442435,91;4479497,51;05  CHAMART÷N;05-05 NUEVA ESPALA;LA HABANA, PASEO, DE;196;1
443027,26;4479699,55;05  CHAMART÷N;05-05 NUEVA ESPALA;MADRE DE DIOS, CALLE, DE LA;30;1
443025,29;4479585;05  CHAMART÷N;05-05 NUEVA ESPALA;MAESTRO CHAPI, CALLE, DEL;10;1
442318,63;4479430,08;05  CHAMART÷N;05-05 NUEVA ESPALA;MENENDEZ PIDAL, CALLE, DE;17;1
442489,29;4479143,22;05  CHAMART÷N;05-05 NUEVA ESPALA;NUESTRA SELORA DE LUJAN, CALLE, DE;9;1
442380,64;4479141,9;05  CHAMART÷N;05-05 NUEVA ESPALA;NUESTRA SELORA DE LUJAN, CALLE, DE;3;1
442003,09;4479238,63;05  CHAMART÷N;05-05 NUEVA ESPALA;PADRE DAMIAN, CALLE, DEL;46;1
442001,99;4479441,79;05  CHAMART÷N;05-05 NUEVA ESPALA;PADRE DAMIAN, CALLE, DEL;43;1
443144,99;4479099,65;05  CHAMART÷N;05-05 NUEVA ESPALA;PARAGUAY, CALLE, DE;Fte 2;1
442777,09;4479273,86;05  CHAMART÷N;05-05 NUEVA ESPALA;PERU, PLAZA, DE;4;1
442767,91;4479357,13;05  CHAMART÷N;05-05 NUEVA ESPALA;PIO XII, AVENIDA, DE;2;3
442749,74;4479194,25;05  CHAMART÷N;05-05 NUEVA ESPALA;PRINCIPE DE VERGARA, CALLE, DEL;280;1
442720,74;4479181;05  CHAMART÷N;05-05 NUEVA ESPALA;PRINCIPE DE VERGARA, CALLE, DEL;287;1
442745,53;4479149,83;05  CHAMART÷N;05-05 NUEVA ESPALA;PRINCIPE DE VERGARA, CALLE, DEL;276;1
443236,46;4479663,93;05  CHAMART÷N;05-05 NUEVA ESPALA;SANTA MARIA MAGDALENA, CALLE, DE;19;1
443226,87;4479421,54;05  CHAMART÷N;05-05 NUEVA ESPALA;SANTA MARIA MAGDALENA, TRAVESIA, DE;7;1
443079,58;4479367,49;05  CHAMART÷N;05-05 NUEVA ESPALA;TORPEDERO TUCUMAN, CALLE, DE;10;1
442682,78;4479347,47;05  CHAMART÷N;05-05 NUEVA ESPALA;TRIANA, CALLE, DE;5;1
442779,15;4479784,73;05  CHAMART÷N;05-05 NUEVA ESPALA;TRIANA, CALLE, DE;50;1
442085,76;4480523,27;05  CHAMART÷N;05-06 CASTILLA;AGUSTIN DE FOXA, CALLE, DE;31;2
442701,99;4480826,04;05  CHAMART÷N;05-06 CASTILLA;BAMBU, CALLE, DEL;4;1
442641,95;4480630,08;05  CHAMART÷N;05-06 CASTILLA;BUGANVILLA, CALLE, DE LA;7;1
442880,94;4481370,09;05  CHAMART÷N;05-06 CASTILLA;BURGOS, AVENIDA, DE;30;1
442815,18;4480847,23;05  CHAMART÷N;05-06 CASTILLA;BURGOS, AVENIDA, DE;14;1
443015,23;4480020,38;05  CHAMART÷N;05-06 CASTILLA;CAIDOS DE LA DIVISION AZUL, CALLE, DE LOS;9;1
442745,51;4480111,18;05  CHAMART÷N;05-06 CASTILLA;CAIDOS DE LA DIVISION AZUL, CALLE, DE LOS;1 E;2
443159,22;4480021,07;05  CHAMART÷N;05-06 CASTILLA;CARDENAL MARCELO SPINOLA, CALLE, DEL;2;1
441786,58;4480240,16;05  CHAMART÷N;05-06 CASTILLA;CARMEN SANCHEZ CARRASCOSA, CALLE, DE;2;1
441806,88;4480336,9;05  CHAMART÷N;05-06 CASTILLA;CASTELLANA, PASEO, DE LA;234;1
441949,58;4480859,77;05  CHAMART÷N;05-06 CASTILLA;DANIEL VAZQUEZ DIAZ, CALLE, DE;2;2
441903,06;4480186,06;05  CHAMART÷N;05-06 CASTILLA;ENRIQUE LARRETA, CALLE, DE;12;1
441905,28;4480176,59;05  CHAMART÷N;05-06 CASTILLA;ENRIQUE LARRETA, CALLE, DE;12;1
441913,89;4480064,74;05  CHAMART÷N;05-06 CASTILLA;ENRIQUE LARRETA, CALLE, DE;3;1
441991,91;4480283,23;05  CHAMART÷N;05-06 CASTILLA;ESTEBAN TERRADAS, CALLE, DE;3;1
443128,29;4480121,53;05  CHAMART÷N;05-06 CASTILLA;JOSE BARDASANO BAOS, CALLE, DE;5;1
442076,12;4480052,54;05  CHAMART÷N;05-06 CASTILLA;MANUEL FERRERO, CALLE, DE;2;1
441886,12;4479985,19;05  CHAMART÷N;05-06 CASTILLA;MATEO INURRIA, CALLE, DE;9;2
442112,24;4480959,43;05  CHAMART÷N;05-06 CASTILLA;MAURICIO LEGENDRE, CALLE, DE;36;1
442122,5;4481019,6;05  CHAMART÷N;05-06 CASTILLA;MAURICIO LEGENDRE, CALLE, DE;38;1
441912,4;4480379,67;05  CHAMART÷N;05-06 CASTILLA;MAURICIO LEGENDRE, CALLE, DE;Fte 13;1
441944,73;4480525,89;05  CHAMART÷N;05-06 CASTILLA;MAURICIO LEGENDRE, CALLE, DE;Fte 21;1
441976,98;4480670,97;05  CHAMART÷N;05-06 CASTILLA;MAURICIO LEGENDRE, CALLE, DE;33;1
442340,38;4480337,3;05  CHAMART÷N;05-06 CASTILLA;MEMBRILLO, CALLE, DEL;5;1
442007,28;4480218,22;05  CHAMART÷N;05-06 CASTILLA;NULEZ MORGADO, CALLE, DE;6;1
442004,87;4480141,82;05  CHAMART÷N;05-06 CASTILLA;NULEZ MORGADO, CALLE, DE;2;1
441954,82;4480828,25;05  CHAMART÷N;05-06 CASTILLA;PADRE FRANCISCO PALAU Y QUER, CALLE, DEL;3;1
442948,11;4481688,31;05  CHAMART÷N;05-06 CASTILLA;PASTORA IMPERIO, CALLE, DE;7;2
442941,07;4481562,93;05  CHAMART÷N;05-06 CASTILLA;PASTORA IMPERIO, CALLE, DE;1;1
442951,41;4480563,65;05  CHAMART÷N;05-06 CASTILLA;PIO XII, AVENIDA, DE;94;1
442779,58;4480241,4;05  CHAMART÷N;05-06 CASTILLA;SANTA MAGDALENA SOFIA, CALLE, DE;12;4
440061,95;4478181,23;06  TETUlN;06-01 BELLAS VISTAS;ABEL, CALLE, DE;13;1
439840,41;4478749,17;06  TETUlN;06-01 BELLAS VISTAS;ALEJANDRO RODRIGUEZ, CALLE, DE;31;1
439857,3;4478391,87;06  TETUlN;06-01 BELLAS VISTAS;ANTONIO GOMEZ GALIANA, CALLE, DE;7;1
440269,61;4478777,59;06  TETUlN;06-01 BELLAS VISTAS;ANTURIO, CALLE, DEL;1;1
439972,28;4478158,1;06  TETUlN;06-01 BELLAS VISTAS;ARANJUEZ, CALLE, DE;Fte 30;1
440148,66;4478203,29;06  TETUlN;06-01 BELLAS VISTAS;AVELINO MONTERO RIOS, CALLE, DE;33;1
440315,05;4478104,71;06  TETUlN;06-01 BELLAS VISTAS;CARNICER, CALLE, DE;18;1
440273,48;4478495,43;06  TETUlN;06-01 BELLAS VISTAS;CASTILLA, CALLE, DE;38;1
440082,45;4478501,04;06  TETUlN;06-01 BELLAS VISTAS;CASTILLA, CALLE, DE;62;1
440222,09;4478822,17;06  TETUlN;06-01 BELLAS VISTAS;CASTILLEJOS, CALLE, DE;5;1
440169,3;4477849,35;06  TETUlN;06-01 BELLAS VISTAS;CASTILLO PILEIRO, CALLE, DE;2;2
439990,29;4478050,16;06  TETUlN;06-01 BELLAS VISTAS;DOCTOR FEDERICO RUBIO Y GALI, AVENIDA, DEL;13;1
439875,87;4478419,43;06  TETUlN;06-01 BELLAS VISTAS;DOCTOR FEDERICO RUBIO Y GALI, AVENIDA, DEL;49;1
440229;4477887,77;06  TETUlN;06-01 BELLAS VISTAS;DOCTOR SANTERO, CALLE, DEL;21;1
440385,24;4478610,99;06  TETUlN;06-01 BELLAS VISTAS;FERNANDO OSSORIO, CALLE, DE;7;
440051,83;4478887,01;06  TETUlN;06-01 BELLAS VISTAS;FRANCOS RODRIGUEZ, CALLE, DE;49;2
440245,99;4477994,94;06  TETUlN;06-01 BELLAS VISTAS;GARELLANO, CALLE, DE;12;
440431,25;4478568,38;06  TETUlN;06-01 BELLAS VISTAS;GOIRI, CALLE, DE;26;
440022,76;4478454,73;06  TETUlN;06-01 BELLAS VISTAS;JERONIMA LLORENTE, CALLE, DE;71;1
439969,28;4478390,91;06  TETUlN;06-01 BELLAS VISTAS;JERONIMA LLORENTE, CALLE, DE;77;1
440291,08;4478802,35;06  TETUlN;06-01 BELLAS VISTAS;JERONIMA LLORENTE, CALLE, DE;7;1
440138,04;4478638,12;06  TETUlN;06-01 BELLAS VISTAS;JERONIMA LLORENTE, CALLE, DE;40;1
440046,8;4478618,56;06  TETUlN;06-01 BELLAS VISTAS;JOAQUIN ARJONA, CALLE, DE;29;1
440401,27;4478150,39;06  TETUlN;06-01 BELLAS VISTAS;JUAN PANTOJA, CALLE, DE;3;1
440334,73;4478165,63;06  TETUlN;06-01 BELLAS VISTAS;JUAN PANTOJA, CALLE, DE;16;1
440299,47;4478170,17;06  TETUlN;06-01 BELLAS VISTAS;JUAN PANTOJA, CALLE, DE;22;1
439999,65;4478491,1;06  TETUlN;06-01 BELLAS VISTAS;JUAN PRADILLO, CALLE, DE;6;1
440024,94;4478506,45;06  TETUlN;06-01 BELLAS VISTAS;JUAN PRADILLO, CALLE, DE;2;1
439948,54;4478779,36;06  TETUlN;06-01 BELLAS VISTAS;LELEROS, CALLE, DE LOS;56;1
439981,41;4478749,35;06  TETUlN;06-01 BELLAS VISTAS;LELEROS, CALLE, DE LOS;36;2
439895,3;4478707,76;06  TETUlN;06-01 BELLAS VISTAS;LELEROS, CALLE, DE LOS;37;1
439926,36;4478657,67;06  TETUlN;06-01 BELLAS VISTAS;LELEROS, CALLE, DE LOS;33;1
439900,66;4478509,2;06  TETUlN;06-01 BELLAS VISTAS;MARIA PEDRAZA, CALLE, DE;22;1
439913,93;4478926,91;06  TETUlN;06-01 BELLAS VISTAS;NUMANCIA, CALLE, DE;61;1
439646,04;4478512,54;06  TETUlN;06-01 BELLAS VISTAS;NUMANCIA, CALLE, DE;2;1
439682,37;4478707,7;06  TETUlN;06-01 BELLAS VISTAS;NUMANCIA, CALLE, DE;21;1
440156,51;4478316,14;06  TETUlN;06-01 BELLAS VISTAS;OLITE, CALLE, DE;36;1
440167,77;4478465,26;06  TETUlN;06-01 BELLAS VISTAS;OLITE, CALLE, DE;45;2
440131,08;4478181,64;06  TETUlN;06-01 BELLAS VISTAS;OLITE, CALLE, DE;14;1
440188,67;4478631,54;06  TETUlN;06-01 BELLAS VISTAS;OUDRID, CALLE, DE;9;1
439701,39;4478817,77;06  TETUlN;06-01 BELLAS VISTAS;PABLO IGLESIAS, AVENIDA, DE;88;1
439998,33;4477961,75;06  TETUlN;06-01 BELLAS VISTAS;PABLO IGLESIAS, AVENIDA, DE;36;1
440152,51;4478799,85;06  TETUlN;06-01 BELLAS VISTAS;PAMPLONA, CALLE, DE;53;1
440120,89;4478835,96;06  TETUlN;06-01 BELLAS VISTAS;PAMPLONA, CALLE, DE;59;1
440141,25;4478812,29;06  TETUlN;06-01 BELLAS VISTAS;PAMPLONA, CALLE, DE;55;1
440321,29;4478607,75;06  TETUlN;06-01 BELLAS VISTAS;PAMPLONA, CALLE, DE;15;1
440289,07;4478673,06;06  TETUlN;06-01 BELLAS VISTAS;PAMPLONA, CALLE, DE;20;1
440271,86;4478692,57;06  TETUlN;06-01 BELLAS VISTAS;PAMPLONA, CALLE, DE;22;2
439992,49;4478347,09;06  TETUlN;06-01 BELLAS VISTAS;SAN RAIMUNDO, CALLE, DE;58;1
440391,23;4478420,14;06  TETUlN;06-01 BELLAS VISTAS;SANTA JULIANA, CALLE, DE;10;1
440205,11;4478414,04;06  TETUlN;06-01 BELLAS VISTAS;SANTA JULIANA, CALLE, DE;41;1
440237,08;4478474,62;06  TETUlN;06-01 BELLAS VISTAS;TENERIFE, CALLE, DE;47;1
440243,33;4478199,61;06  TETUlN;06-01 BELLAS VISTAS;TENERIFE, CALLE, DE;15;1
440374,21;4478249,8;06  TETUlN;06-01 BELLAS VISTAS;TOPETE, CALLE, DEL;30;1
439945,71;4478373,82;06  TETUlN;06-01 BELLAS VISTAS;TUDELILLA, CALLE, DE;1;1
440169,81;4478695,15;06  TETUlN;06-01 BELLAS VISTAS;WAD RAS, CALLE, DE;1;1
440668,18;4478357,19;06  TETUlN;06-02 CUATRO CAMINOS;AQUILINO DOMINGUEZ, CALLE, DE;1;1
440618,04;4477850,57;06  TETUlN;06-02 CUATRO CAMINOS;ARTISTAS, CALLE, DE LOS;22;1
440825,4;4477850,88;06  TETUlN;06-02 CUATRO CAMINOS;ARTISTAS, CALLE, DE LOS;42;2
440673,35;4478792,71;06  TETUlN;06-02 CUATRO CAMINOS;ASUNCION CASTELL, CALLE, DE;24;1
440644,99;4478717,87;06  TETUlN;06-02 CUATRO CAMINOS;ASUNCION CASTELL, CALLE, DE;5;1
441094,93;4478058,31;06  TETUlN;06-02 CUATRO CAMINOS;BASILICA, CALLE, DE LA;17;1
440943,29;4478060,71;06  TETUlN;06-02 CUATRO CAMINOS;BASILICA, CALLE, DE LA;23;2
440715,87;4478397,12;06  TETUlN;06-02 CUATRO CAMINOS;BRUNO AYLLON, CALLE, DE;4;
441383,5;4478708,89;06  TETUlN;06-02 CUATRO CAMINOS;CAPITAN HAYA, CALLE, DEL;11;1
441520,11;4478601,88;06  TETUlN;06-02 CUATRO CAMINOS;CASTELLANA, PASEO, DE LA;103;3
441342,31;4477797,35;06  TETUlN;06-02 CUATRO CAMINOS;CASTELLANA, PASEO, DE LA;71;3
440867,79;4477893,54;06  TETUlN;06-02 CUATRO CAMINOS;COMANDANTE ZORITA, CALLE, DEL;5;1
440882,58;4478064,91;06  TETUlN;06-02 CUATRO CAMINOS;COMANDANTE ZORITA, CALLE, DEL;23;1
440895,14;4478231,77;06  TETUlN;06-02 CUATRO CAMINOS;COMANDANTE ZORITA, CALLE, DEL;39;1
440902,49;4478346,27;06  TETUlN;06-02 CUATRO CAMINOS;COMANDANTE ZORITA, CALLE, DEL;47;2
440589,91;4478018,88;06  TETUlN;06-02 CUATRO CAMINOS;CONDESA DE GAVIA, PLAZA, DE LA;3;2
440789,75;4478357,79;06  TETUlN;06-02 CUATRO CAMINOS;DULCINEA, CALLE, DE;63;1
441091,33;4478646,66;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL CABRERA, CALLE, DEL;12;1
441092,65;4478663,38;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL CABRERA, CALLE, DEL;12;1
440990,97;4477823,11;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL MOSCARDO, CALLE, DEL;3;2
441174,81;4478599,37;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL ORGAZ, CALLE, DEL;31;1
440862,79;4478524,06;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL ORGAZ, CALLE, DEL;3;2
440876,16;4478588,58;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL ORGAZ, CALLE, DEL;6;1
440875,25;4478498,58;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL ORGAZ, CALLE, DEL;2;1
441244,54;4478385,99;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;32;1
440980,37;4478404,28;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;14;1
441065,94;4478397,35;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;20;1
441310,24;4478475,04;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;29;1
441083,92;4478472,34;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;Fte 17;1
440866,63;4478411,88;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;6;1
441084,43;4478395,71;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;22;1
440924,45;4478631,75;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL RAMIREZ DE MADRID, CALLE, DEL;5;1
441152,1;4478790,54;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL VARELA, CALLE, DEL;19;1
441141,71;4478658,15;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL VARELA, CALLE, DEL;13;2
441138,95;4478624;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL VARELA, CALLE, DEL;9;1
440705,33;4478950,76;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL YAG?E, CALLE, DEL;51;1
441319,24;4478831,5;06  TETUlN;06-02 CUATRO CAMINOS;GENERAL YAG?E, CALLE, DEL;7;1
440479,36;4477910,71;06  TETUlN;06-02 CUATRO CAMINOS;GUIPUZCOA, CALLE, DE;5;1
440503,65;4477907,77;06  TETUlN;06-02 CUATRO CAMINOS;GUIPUZCOA, CALLE, DE;7;1
440609,99;4477954,58;06  TETUlN;06-02 CUATRO CAMINOS;HERNANI, CALLE, DE;26;1
441111,73;4477911,96;06  TETUlN;06-02 CUATRO CAMINOS;HERNANI, CALLE, DE;70;2
440831,62;4478612,12;06  TETUlN;06-02 CUATRO CAMINOS;INFANTA MERCEDES, CALLE, DE LA;25;1
440809,49;4478491,21;06  TETUlN;06-02 CUATRO CAMINOS;INFANTA MERCEDES, CALLE, DE LA;7;1
440895,2;4478815,58;06  TETUlN;06-02 CUATRO CAMINOS;INFANTA MERCEDES, CALLE, DE LA;39;1
440496,66;4478204,12;06  TETUlN;06-02 CUATRO CAMINOS;JAEN, CALLE, DE;1;1
440651,2;4478195,58;06  TETUlN;06-02 CUATRO CAMINOS;JAEN, CALLE, DE;13;1
440732,65;4478509,58;06  TETUlN;06-02 CUATRO CAMINOS;JUAN DE OLIAS, CALLE, DE;26;2
440578,13;4478526,17;06  TETUlN;06-02 CUATRO CAMINOS;JUAN DE OLIAS, CALLE, DE;8;2
440581,79;4478772,11;06  TETUlN;06-02 CUATRO CAMINOS;LA CORULA, CALLE, DE;2;1
440683,49;4478750,26;06  TETUlN;06-02 CUATRO CAMINOS;LA CORULA, CALLE, DE;11;2
440716,63;4478740,84;06  TETUlN;06-02 CUATRO CAMINOS;LA CORULA, CALLE, DE;15;1
440806,44;4478729,12;06  TETUlN;06-02 CUATRO CAMINOS;LA CORULA, CALLE, DE;22;1
440645,16;4478761,81;06  TETUlN;06-02 CUATRO CAMINOS;LA CORULA, CALLE, DE;7;2
440842,75;4478908,88;06  TETUlN;06-02 CUATRO CAMINOS;LAZAGA, CALLE, DE;4;1
440652,8;4478462,67;06  TETUlN;06-02 CUATRO CAMINOS;LERIDA, CALLE, DE;11;1
440681,23;4478529,19;06  TETUlN;06-02 CUATRO CAMINOS;LERIDA, CALLE, DE;26;1
440645,37;4478430,08;06  TETUlN;06-02 CUATRO CAMINOS;LERIDA, CALLE, DE;9;1
441079,58;4478519,32;06  TETUlN;06-02 CUATRO CAMINOS;MARTIRES DE PARACUELLOS, CALLE, DE LOS;Fte 16;1
441018,62;4478516,19;06  TETUlN;06-02 CUATRO CAMINOS;MARTIRES DE PARACUELLOS, CALLE, DE LOS;10;1
441036,86;4478485,49;06  TETUlN;06-02 CUATRO CAMINOS;MARTIRES DE PARACUELLOS, CALLE, DE LOS;12;1
440642,58;4478630,04;06  TETUlN;06-02 CUATRO CAMINOS;MERCEDES, CALLE, DE LAS;12;1
441196,03;4478785,02;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;51;2
441194,24;4478763,44;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;49;1
441197,06;4478797,48;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;53;1
441181,78;4478604,57;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;41;2
441177,7;4478277,38;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;24;1
441156,08;4478003,35;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;10;1
441124,03;4477883,69;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;9;1
441150,66;4478187,04;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;19;2
441118,79;4477821,58;06  TETUlN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;3;1
440489;4478138,57;06  TETUlN;06-02 CUATRO CAMINOS;PALENCIA, CALLE, DE;2;1
440629,62;4478126,78;06  TETUlN;06-02 CUATRO CAMINOS;PALENCIA, CALLE, DE;29;1
440600,49;4478121,21;06  TETUlN;06-02 CUATRO CAMINOS;PALENCIA, CALLE, DE;10;1
441185,18;4478723,89;06  TETUlN;06-02 CUATRO CAMINOS;PEDRO TEIXEIRA, CALLE, DE;3;1
441184,47;4478705,09;06  TETUlN;06-02 CUATRO CAMINOS;PEDRO TEIXEIRA, CALLE, DE;4;1
440968,92;4478240,92;06  TETUlN;06-02 CUATRO CAMINOS;REINA MERCEDES, CALLE, DE LA;20;3
441106,26;4478249,95;06  TETUlN;06-02 CUATRO CAMINOS;REINA MERCEDES, CALLE, DE LA;25;1
