Marca;Modelo;Tipo;Contrase¤a de Homologaci¢n;Variante;Versi¢n;Parte Fija Vin;Combustible;Eurotaxi;Baja;N§ puertas;Cilindrada;Potencia;Tipo de Cambio;Eurotaxi2;Ecotaxi2;Plazas2
MERCEDES-BENZ;E 220 BLUETEC;212K;e1*2007/46*0200;J20RP0;CXXXX5KX;WDD212201;DIESEL;N;;5;2143;125;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212K;e1*2007/46*0200;J20RP0;KXXXX500;WDD212201;DIESEL;N;;5;2143;125;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212K;e1*2007/46*0200;J20RP0;KXXXX501;WDD212201;DIESEL;N;;5;2143;125;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;C????502;WDD212004;DIESEL;N;;4;2143;150;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;CXXXX500;WDD212004;DIESEL;N;;4;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;CXXXX501;WDD212004;DIESEL;N;;4;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;IXXXX500;WDD212004;DIESEL;N;;4;2143;150;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;IXXXX501;WDD212004;DIESEL;N;;4;2143;150;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;CXXXX500;WDD212204;DIESEL;N;;5;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;CXXXX501;WDD212204;DIESEL;N;;5;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;CXXXX502;WDD212204;DIESEL;N;;5;2143;150;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;IXXXX500;WDD212204;DIESEL;N;;5;2143;150;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;IXXXX501;WDD212204;DIESEL;N;;5;2143;150;MANUAL 6V; ;Ecotaxi;5
