"Año","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2014","Extremadura","Cáceres","222.0"
"Año 2014","Galicia","A Coruña","412.0"
"Año 2014","Galicia","Lugo","186.0"
"Año 2014","Galicia","Ourense","154.0"
"Año 2014","Galicia","Pontevedra","575.0"
"Año 2014","Comunidad de Madrid","Madrid","5312.0"
"Año 2014","Región de Murcia","Murcia","1231.0"
"Año 2014","Comunidad Foral de Navarra","Navarra","288.0"
"Año 2014","País Vasco","Álava","80.0"
"Año 2014","País Vasco","Guipúzcoa","284.0"
"Año 2014","País Vasco","Vizcaya","414.0"
"Año 2014","La Rioja","La Rioja","180.0"
"Año 2014","Ceuta","Ceuta","34.0"
"Año 2014","Melilla","Melilla","49.0"
"Año 2015","Andalucía","Almería","127.0"
"Año 2015","Andalucía","Cádiz","288.0"
"Año 2015","Andalucía","Córdoba","129.0"
"Año 2015","Andalucía","Granada","171.0"
"Año 2015","Andalucía","Huelva","116.0"
"Año 2015","Andalucía","Jaén","143.0"
"Año 2015","Andalucía","Málaga","419.0"
"Año 2015","Andalucía","Sevilla","505.0"
"Año 2015","Aragón","Huesca","41.0"
"Año 2015","Aragón","Teruel","16.0"
"Año 2015","Aragón","Zaragoza","140.0"
"Año 2015","Principado de Asturias","Asturias","190.0"
"Año 2015","Islas Baleares","Islas Baleares","150.0"
"Año 2015","Canarias","Las Palmas","251.0"
"Año 2015","Canarias","Santa Cruz de Tenerife","234.0"
"Año 2015","Cantabria","Cantabria","85.0"
"Año 2015","Castilla y León","Ávila","19.0"
"Año 2015","Castilla y León","Burgos","34.0"
"Año 2015","Castilla y León","León","54.0"
"Año 2015","Castilla y León","Palencia","12.0"
"Año 2015","Castilla y León","Salamanca","27.0"
"Año 2015","Castilla y León","Segovia","14.0"
"Año 2015","Castilla y León","Soria","15.0"
"Año 2015","Castilla y León","Valladolid","102.0"
"Año 2015","Castilla y León","Zamora","27.0"
"Año 2015","Castilla - La Mancha","Albacete","106.0"
"Año 2015","Castilla - La Mancha","Ciudad Real","119.0"
"Año 2015","Castilla - La Mancha","Cuenca","32.0"
"Año 2015","Castilla - La Mancha","Guadalajara","79.0"
"Año 2015","Castilla - La Mancha","Toledo","90.0"
"Año 2015","Cataluña","Barcelona","887.0"
"Año 2015","Cataluña","Girona","153.0"
"Año 2015","Cataluña","Lleida","78.0"
"Año 2015","Cataluña","Tarragona","179.0"
"Año 2015","Comunidad Valenciana","Alicante","452.0"
"Año 2015","Comunidad Valenciana","Castellón","103.0"
"Año 2015","Comunidad Valenciana","Valencia","521.0"
